keys,en,ja,fr,de,es,it,ko,zh_HK,zh
NAME_PkMn_TOGETIC,Togetic,トゲチック,Togetic,Togetic,Togetic,Togetic,토게틱,波克基古,波克基古
NAME_PkMn_NATU,Natu,ネイチィ,Natu,Natu,Natu,Natu,네이티,天然雀,天然雀
NAME_PkMn_XATU,Xatu,ネイチィオ,Xatu,Xatu,Xatu,Xatu,네이티오,天然鳥,天然鸟
NAME_PkMn_MAREEP,Mareep,メリープ,Wattouat,Voltilamm,Mareep,Mareep,메리프,咩利羊,咩利羊
NAME_PkMn_FLAAFFY,Flaaffy,モココ,Lainergie,Waaty,Flaaffy,Flaaffy,보송송,茸茸羊,茸茸羊
NAME_PkMn_AMPHAROS,Ampharos,デンリュウ,Pharamp,mpharos,Ampharos,Ampharos,전룡,電龍,电龙
NAME_PkMn_BELLOSSOM,Bellossom,キレイハナ,Joliflor,Blubella,Bellossom,Bellossom,아르코,美麗花,美丽花
NAME_PkMn_MARILL,Marill,マリル,Marill,Marill,Marill,Marill,마릴,瑪力露,玛力露
NAME_PkMn_AZUMARILL,Azumarill,マリルリ,Azumarill,Azumarill,Azumarill,Azumarill,마릴리,瑪力露麗,玛力露丽
NAME_PkMn_SUDOWOODO,Sudowoodo,ウソッキー,Simularbre,Mogelbaum,Sudowoodo,Sudowoodo,꼬지모,樹才怪,树才怪
NAME_PkMn_POLITOED,Politoed,ニョロトノ,Tarpaud,Quaxo,Politoed,Politoed,왕구리,蚊香蛙皇,蚊香蛙皇
NAME_PkMn_HOPPIP,Hoppip,ハネッコ,Granivol,Hoppspross,Hoppip,Hoppip,통통코,毽子草,毽子草
NAME_PkMn_SKIPLOOM,Skiploom,ポポッコ,Floravol,Hubelupf,Skiploom,Skiploom,두코,毽子花,毽子花
NAME_PkMn_JUMPLUFF,Jumpluff,ワタッコ,Cotovol,Papungha,Jumpluff,Jumpluff,솜솜코,毽子棉,毽子棉
NAME_PkMn_AIPOM,Aipom,エイパム,Capumain,Griffel,Aipom,Aipom,에이팜,長尾怪手,长尾怪手
NAME_PkMn_SUNKERN,Sunkern,ヒマナッツ,Tournegrain,Sonnkern,Sunkern,Sunkern,해너츠,向日種子,向日种子
NAME_PkMn_SUNFLORA,Sunflora,キミワリ,Héliatronc,Sonflora,Sunflora,Sunflora,해루미,向日花怪,向日花怪
NAME_PkMn_YANMA,Yanma,ヤンヤンマ,Yanma,Yanma,Yanma,Yanma,왕자리,蜻蜻蜓,蜻蜻蜓
NAME_PkMn_WOOPER,Wooper,ウパー,Axoloto,Felino,Wooper,Wooper,우파,烏波,乌波
NAME_PkMn_QUAGSIRE,Quagsire,ヌオー,Maraiste,Morlord,Quagsire,Quagsire,누오,沼王,沼王
NAME_PkMn_ESPEON,Espeon,エーフィ,Mentali,Psiana,Espeon,Espeon,에브이,太陽伊布,太阳伊布
NAME_PkMn_UMBREON,Umbreon,ブラッキー,Noctali,Nachtara,Umbreon,Umbreon,블래키,月亮伊布,月亮伊布
NAME_PkMn_MURKROW,Murkrow,ヤミカラス,Cornèbre,Kramurx,Murkrow,Murkrow,니로우,黑暗鴉,黑暗鸦
NAME_PkMn_SLOWKING,Slowking,ヤドキング,Roigada,Laschoking,Slowking,Slowking,야도킹,呆呆王,呆呆王
NAME_PkMn_MISDREAVUS,Misdreavus,ムウマ,Feuforève,Traunmagil,Misdreavus,Misdreavus,무우마,夢妖,梦妖
NAME_PkMn_UNOWN,Unown,アンノーン,Zarbi,Icognito,Unown,Unown,안농,未知圖騰,未知图腾
NAME_PkMn_WOBBUFFET,Wobbuffet,ソーナンス,Qulbutoké,Woingenau,Wobbuffet,Wobbuffet,마자용,果然翁,果然翁
NAME_PkMn_GIRAFARIG,Girafarig,キリンリキ,Girafarig,Girafarig,Girafarig,Girafarig,키링키,麒麟奇,麒麟奇
NAME_PkMn_PINECO,Pineco,クヌギダマ,Pomdepik,Tanza,Pineco,Pineco,피콘,榛果球,榛果球
NAME_PkMn_FORRETRESS,Forretress,フォレトス,Foretress,Forstellka,Forretress,Forretress,쏘콘,佛烈托斯,佛烈托斯
NAME_PkMn_DUNSPARCE,Dunsparce,ノコッチ,Insolourdo,Dummisel,Dunsparce,Dunsparce,노고치,土龍弟弟,土龙弟弟
NAME_PkMn_GLIGAR,Gligar,グライガー,Scorplane,Skorgla,Gligar,Gligar,글라이거,天蠍,天蝎
NAME_PkMn_STEELIX,Steelix,ハガネール,Steelix,Stahlos,Steelix,Steelix,강철톤,大鋼蛇,大钢蛇
NAME_PkMn_SNUBBULL,Snubbull,ブルー,Snubbull,Snubbull,Snubbull,Snubbull,블루,布魯,布鲁
NAME_PkMn_GRANBULL,Granbull,グランブル,Granbull,Granbull,Granbull,Granbull,그랑블루,布魯皇,布鲁皇
NAME_PkMn_QWILFISH,Qwilfish,ハリーセン,Qwilfish,Baldorfish,Qwilfish,Qwilfish,침바루,千針魚,千针鱼
NAME_PkMn_SCIZOR,Scizor,ハッサム,Cizayox,Scherox,Scizor,Scizor,핫삼나,巨鉗螳螂,巨钳螳螂
NAME_PkMn_SHUCKLE,Shuckle,ツボツボ,Caratroc,Pottrott,Shuckle,Shuckle,단단지,壺壺,壶壶
NAME_PkMn_HERACROSS,Heracross,ヘラクロス,Scarhino,Skarabon,Heracross,Heracross,헤라크로스,赫拉克羅斯,赫拉克罗斯
NAME_PkMn_SNEASEL,Sneasel,ニューラ,Farfuret,Sniebel,Sneasel,Sneasel,포푸니,狃拉,狃拉
NAME_PkMn_TEDDIURSA,Teddiursa,ヒメグマ,Teddiursa,Teddiursa,Teddiursa,Teddiursa,깜지곰,熊寶寶,熊宝宝
NAME_PkMn_URSARING,Ursaring,リングマ,Ursaring,Ursaring,Ursaring,Ursaring,링곰,圈圈熊,圈圈熊
NAME_PkMn_SLUGMA,Slugma,マグマッグ,Limagma,Schneckmag,Slugma,Slugma,마그마그,熔岩蟲,熔岩虫
NAME_PkMn_MAGCARGO,Magcargo,マグカルゴ,Volcaropod,Magcargo,Magcargo,Magcargo,마그카르고,熔岩蝸牛,熔岩蜗牛
NAME_PkMn_SWINUB,Swinub,ウリムー,Marcacrin,Quiekel,Swinub,Swinub,꾸꾸리,小山豬,小山猪
NAME_PkMn_PILOSWINE,Piloswine,イノムー,Cochignon,Keifel,Piloswine,Piloswine,메꾸리,長毛豬,长毛猪
NAME_PkMn_CORSOLA,Corsola,サニーゴ,Corayon,Corasonn,Corsola,Corsola,코산호,太陽珊瑚,太阳珊瑚
NAME_PkMn_REMORAID,Remoraid,テッポウオ,Rémoraid,Remoraid,Remoraid,Remoraid,총어,鐵炮魚,铁炮鱼
NAME_PkMn_OCTILLERY,Octillery,オクタン,Octillery,Octillery,Octillery,Octillery,대포무노,章魚桶,章鱼桶
NAME_PkMn_DELIBIRD,Delibird,デリバード,Cadoizo,Botogel,Delibird,Delibird,딜리버드,信使鳥,信使鸟
NAME_PkMn_MANTINE,Mantine,マンタイン,Démanta,mantax,Mantine,Mantine,만타인,巨翅飛魚,巨翅飞鱼
NAME_PkMn_SKARMORY,Skarmory,エアームド,Airmure,Panzaeron,Skarmory,Skarmory,무장조,盔甲鳥,盔甲鸟
NAME_PkMn_HOUNDOOR,Houndoor,デルビル,Malosse,Hunduster,Houndoor,Houndoor,델빌,戴魯比,戴鲁比
NAME_PkMn_HOUNDOOM,Houndoom,ヘルガー,Démolosse,Hundemon,Houndoom,Houndoom,헬가,黑魯加,黑鲁加
NAME_PkMn_KINGDRA,Kingdra,キングドラ,Hyporoi,Seedraking,Kingdra,Kingdra,킹드라,刺龍王,刺龙王
NAME_PkMn_PHANPY,Phanpy,ゴマゾウ,Phanpy,Phanpy,Phanpy,Phanpy,코코리,小小象,小小象
NAME_PkMn_DONPHAN,Donphan,ドンファン,Donphan,Donphan,Donphan,Donphan,코리갑,頓甲,顿甲
NAME_PkMn_PORYGON2,Porygon2,ポリゴン２,Porygon2,Porygon2,Porygon2,Porygon2,폴리곤２,多邊獸Ⅱ,多边兽２型
NAME_PkMn_STANTLER,Stantler,オドシシ,Cerfrousse,Damhirplex,Stantler,Stantler,노라키,驚角鹿,惊角鹿
NAME_PkMn_SMEARGLE,Smeargle,ドーブル,Queulorior,Farbeagle,Smeargle,Smeargle,루브도,圖圖犬,图图犬
NAME_PkMn_TYROGUE,Tyrogue,バルキー,Debugant,Rabauz,Tyrogue,Tyrogue,배루키,無畏小子,无畏小子
NAME_PkMn_HITMONTOP,Hitmontop,カポエラー,Kapoera,Kapoera,Hitmontop,Hitmontop,카포에라,戰舞郎,战舞郎
NAME_PkMn_SMOOCHUM,Smoochum,ムチュール,Lippouti,Kussilla,Smoochum,Smoochum,뽀뽀라,迷唇娃,迷唇娃
NAME_PkMn_ELEKID,Elekid,エレキッド,Élékid,Elekid,Elekid,Elekid,에레키드,電擊怪,电击怪
NAME_PkMn_MAGBY,Magby,ブビィ,Magby,Magby,Magby,Magby,마그비,鴨嘴寶寶,鸭嘴宝宝
NAME_PkMn_MILTANK,Miltank,ミルタンク,Écrémeuh,Miltank,Miltank,Miltank,밀탱크,大奶罐,大奶罐
NAME_PkMn_BLISSEY,Blissey,ハピナス,Leuphorie,Heiteira,Blissey,Blissey,해피너스,幸福蛋,幸福蛋
NAME_PkMn_RAIKOU,Raikou,ライコウ,Raikou,Raikou,Raikou,Raikou,라이코,雷公,雷公
NAME_PkMn_ENTEI,Entei,エンテイ,Entei,Entei,Entei,Entei,앤테이,炎帝,炎帝
NAME_PkMn_SUICUNE,Suicune,スイクン,Suicune,Suicune,Suicune,Suicune,앤테이,水君,水君
NAME_PkMn_LARVITAR,Larvitar,ヨーギラス,Embrylex,Larvitar,Larvitar,Larvitar,애버라스,幼基拉斯,幼基拉斯
NAME_PkMn_PUPITAR,Pupitar,サナギラス,Ymphect,Pupitar,Pupitar,Pupitar,데기라스,沙基拉斯,沙基拉斯
NAME_PkMn_TYRANITAR,Tyranitar,バンギラス,Tyranocif,Despotar,Tyranitar,Tyranitar,마기라스,班基拉斯,班基拉斯
NAME_PkMn_LUGIA,Lugia,ルギア,Lugia,Lugia,Lugia,Lugia,루기아,洛奇亞,洛奇亚
NAME_PkMn_HOOH,Ho-Oh,ホウオウ,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,칠색조,鳳王,凤王
NAME_PkMn_CELEBI,Celebi,セリビィ,Celebi,Celebi,Celebi,Celebi,세레비,時拉比,时拉比
NAME_PkMn_TREECKO,Treecko,キモリ,Arcko,Geckabor,Treecko,Treecko,나무지기,木守宮,木守宫
NAME_PkMn_GROVYLE,Grovyle,ジュプトル,Massko,Reptain,Grovyle,Grovyle,나무돌이,森林蜥蜴,森林蜥蜴
NAME_PkMn_SCEPTILE,Sceptile,ジュカイン,Jungko,Gewaldro,Sceptile,Sceptile,나무킹,蜥蜴王,蜥蜴王
NAME_PkMn_TORCHIC,Torchic,アチャモ,Poussifeu,Flemmli,Torchic,Torchic,아차모,火稚雞,火稚鸡
NAME_PkMn_COMBUSKEN,Combusken,ワカシャモ,Galifeu,Jungglut,Combusken,Combusken,영치코,力壯雞,力壮鸡
NAME_PkMn_BLAZIKEN,Blaziken,バシャーモ,Braségali,Lohgock,Blaziken,Blaziken,번치코,火焰雞,火焰鸡
NAME_PkMn_MUDKIP,Mudkip,ミズゴロウ,Gobou,Hydropi,Mudkip,Mudkip,물짱이,水躍魚,水跃鱼
NAME_PkMn_MARSHTOMP,Marshtomp,ヌマクロー,Flobio,Moorabble,Marshtomp,Marshtomp,늪짱이,沼躍魚,沼跃鱼
NAME_PkMn_SWAMPERT,Swampert,ラグラージ,Laggron,Sumpex,Swampert,Swampert,대짱이,巨沼怪,巨沼怪
NAME_PkMn_POOCHYENA,Poochyena,ポチエナ,Medhyèna,Fiffyen,Poochyena,Poochyena,포챠나,土狼犬,土狼犬
NAME_PkMn_MIGHTYENA,Mightyena,グラエナ,Grahyèna,Magnayen,Mightyena,Mightyena,그라에나,大狼犬,大狼犬
NAME_PkMn_ZIGZAGOON,Zigzagoon,ジグザグマ,Zigzaton,Zigzachs,Zigzagoon,Zigzagoon,지그제구리,蛇紋熊,蛇纹熊
NAME_PkMn_LINOONE,Linoone,マッスグマ,Linéon,Geradaks,Linoone,Linoone,직구리,直衝熊,直冲熊
NAME_PkMn_WURMPLE,Wurmple,ケムッソ,Chenipotte,Waumpel,Wurmple,Wurmple,개무소,刺尾蟲,刺尾虫
NAME_PkMn_SILCOON,Silcoon,カラサリス,Armulys,Schaloko,Silcoon,Silcoon,실쿤,甲殼繭,甲壳茧
NAME_PkMn_BEAUTIFLY,Beautifly,アゲハント,Charmillon,Papinella,Beautifly,Beautifly,뷰티플라이,狩獵鳳蝶,狩猎凤蝶
NAME_PkMn_CASCOON,Cascoon,マユルド,Blindalys,Panekon,Cascoon,Cascoon,카스쿤,盾甲繭,盾甲茧
NAME_PkMn_DUSTOX,Dustox,ドクケイル,Papinox,Pudox,Dustox,Dustox,독케일,毒粉蛾,毒粉蛾
NAME_PkMn_LOTAD,Lotad,ハスボー,Nénupiot,Loturzel,Lotad,Lotad,연꽃몬,蓮葉童子,莲叶童子
NAME_PkMn_LOMBRE,Lombre,ハスブレロ,Lombre,Lombrero,Lombre,Lombre,로토스,蓮帽小童,莲帽小童
NAME_PkMn_LUDICOLO,Ludicolo,ルンパッパ,Ludicolo,Kappalores,Ludicolo,Ludicolo,로파파,樂天河童,乐天河童
NAME_PkMn_SEEDOT,Seedot,タネボー,Grainipiot,Samurzel,Seedot,Seedot,도토링,橡實果,橡实果
NAME_PkMn_NUZLEAF,Nuzleaf,コノハナ,Pifeuil,Blanas,Nuzleaf,Nuzleaf,잎새코,長鼻葉,长鼻叶
NAME_PkMn_SHIFTRY,Shiftry,ダーテング,Tengalice,Tengulist,Shiftry,Shiftry,다탱구,狡猾天狗,狡猾天狗
NAME_PkMn_TAILOW,Tailow,スバメ,Nirondelle,Schwalbini,Tailow,Tailow,테일로,傲骨燕,傲骨燕
NAME_PkMn_SWELLOW,Swellow,オオスバメ,Hélédelle,Schwalboss,Swellow,Swellow,스왈로,大王燕,大王燕
NAME_PkMn_WINGULL,Wingull,キャモメ,Goélise,Wingull,Wingull,Wingull,갈모매,長翅鷗,长翅鸥
NAME_PkMn_PELIPPER,Pelipper,ペリッパー,Bekipan,Pelipper,Pelipper,Pelipper,패리퍼,大嘴鷗,大嘴鸥
NAME_PkMn_RALTS,Ralts,ラルトス,Tarsal,Trasla,Ralts,Ralts,랄토스,拉魯拉絲,拉鲁拉丝
NAME_PkMn_KIRLIA,Kirlia,キルリア,Kirlia,Kirlia,Kirlia,Kirlia,킬리아,奇魯莉安,奇鲁莉安
NAME_PkMn_GARDEVOIR,Gardevoir,サーナイト,Gardevoir,Guardevoir,Gardevoir,Gardevoir,가디안,沙奈朵,沙奈朵
NAME_PkMn_SURSKIT,Surskit,アメタマ,Arakdo,Gehweiher,Surskit,Surskit,비구술,溜溜糖球,溜溜糖球
NAME_PkMn_MASQUERAIN,Masquerain,アメモース,Maskadra,Maskeregen,Masquerain,Masquerain,비나방,雨翅蛾,雨翅蛾
NAME_PkMn_SHROOMISH,Shroomish,キノココ,Balignon,Knilz,Shroomish,Shroomish,버섯꼬,蘑蘑菇,蘑蘑菇
NAME_PkMn_BRELOOM,Breloom,キノガッサ,Chapignon,Kapilz,Breloom,Breloom,버섯모,斗笠菇,斗笠菇
NAME_PkMn_SLAKOTH,Slakoth,ナマケロ,Parecool,Bummelz,Slakoth,Slakoth,게을로,懶人獺,懒人獭
NAME_PkMn_VIGOROTH,Vigoroth,ヤルキモノ,Vigoroth,Muntier,Vigoroth,Vigoroth,발바로,過動猿,过动猿
NAME_PkMn_SLAKING,Slaking,ケッキング,Monaflèmit,Letarking,Slaking,Slaking,게을킹,請假王,请假王
NAME_PkMn_NINCADA,Nincada,ツチニン,Ningale,Nincada,Nincada,Nincada,토중몬,土居忍士,土居忍士
NAME_PkMn_NINJASK,Ninjask,テッカニン,Ninjask,Ninjask,Ninjask,Ninjask,아이스크,鐵面忍者,铁面忍者
NAME_PkMn_SHEDINJA,Shedinja,ヌケニン,Munja,Ninjatom,Shedinja,Shedinja,껍질몬,脫殼忍者,脱壳忍者
NAME_PkMn_WHISMUR,Whismur,ゴニョニョ,Chuchmur,Flurmel,Whismur,Whismur,소곤룡,咕妞妞,咕妞妞
NAME_PkMn_LOUDRED,Loudred,ドゴーム,Ramboum,Krakeelo,Loudred,Loudred,노공룡,吼爆彈,吼爆弹
NAME_PkMn_EXPLOUD,Exploud,バクオング,Brouhabam,Krawumms,Exploud,Exploud,폭음룡,爆音怪,爆音怪
NAME_PkMn_MAKUHITA,Makuhita,マクノシタ,Makuhita,Makuhita,Makuhita,Makuhita,마크탕,幕下力士,幕下力士
NAME_PkMn_HARIYAMA,Hariyama,ハリテヤマ,Hariyama,Hariyama,Hariyama,Hariyama,하리뭉,鐵掌力士,铁掌力士
NAME_PkMn_AZURILL,Azurill,ルリリ,Azurill,Azurill,Azurill,Azurill,루리리,露力麗,露力丽
NAME_PkMn_NOSEPASS,Nosepass,ノズパス,Tarinor,Nasgnet,Nosepass,Nosepass,코코파스,朝北鼻,朝北鼻
NAME_PkMn_SKITTY,Skitty,エネコ,Skitty,Eneco,Skitty,Skitty,에나비,向尾喵,向尾喵
NAME_PkMn_DELCATTY,Delcatty,エネコロロ,Delcatty,Enekoro,Delcatty,Delcatty,델케티,優雅貓,优雅猫
NAME_PkMn_SABLEYE,Sableye,ヤミラミ,Ténéfix,Zobiris,Sableye,Sableye,깜까미,勾魂眼,勾魂眼
NAME_PkMn_MAWILE,Mawile,クチート,Mysdibule,Flunkifer,Mawile,Mawile,입치트,大嘴娃,大嘴娃
NAME_PkMn_ARON,Aron,ココドラ,Galekid,Stollunior,Aron,Aron,가보리,可可多拉,可可多拉
NAME_PkMn_LAIRON,Lairon,コドラ,Galegon,Stollrak,Lairon,Lairon,갱도라,可多拉,可多拉
NAME_PkMn_AGGRON,Aggron,バスゴドラ,Galeking,Stolloss,Aggron,Aggron,보스로라,波士可多拉,波士可多拉
NAME_PkMn_MEDITITE,Meditite,アサナン,Méditikka,Meditie,Meditite,Meditite,요가랑,瑪沙那,玛沙那
NAME_PkMn_MEDICHAM,Medicham,チャーレム,Charmina,Meditalis,Medicham,Medicham,요가램,恰雷姆,恰雷姆
NAME_PkMn_ELECTRIKE,Electrike,ラクライ,Dynavolt,Frizelbliz,Electrike,Electrike,썬더라이,落雷獸,落雷兽
NAME_PkMn_MANECTRIC,Manectric,ライボルト,Élecsprint,Voltenso,Manectric,Manectric,썬더볼트,雷電獸,雷电兽
NAME_PkMn_PLUSLE,Plusle,プラスル,Posipi,Plusle,Plusle,Plusle,플러시,正電拍拍,正电拍拍
NAME_PkMn_MINUM,Minum,マイナン,Négapi,Minun,Minum,Minum,마이농,負電拍拍,负电拍拍
NAME_PkMn_VOLBEAT,Volbeat,バルビート,Muciole,Volbeat,Volbeat,Volbeat,볼비트,電螢蟲,电萤虫
NAME_PkMn_ILLUMISE,Illumise,イルミーゼ,Lumivole,Illumise,Illumise,Illumise,네오비트,甜甜螢,甜甜萤
NAME_PkMn_ROSELIA,Roselia,ロゼリア,Rosélia,Roselia,Roselia,Roselia,로젤리아,毒薔薇,毒蔷薇
NAME_PkMn_GULPIN,Gulpin,ゴクリン,Gloupti,Schluppuck,Gulpin,Gulpin,꼴깍몬,溶食獸,溶食兽
NAME_PkMn_SWALOT,Swalot,マルノーム,Avaltout,Schluckwech,Swalot,Swalot,꿀꺽몬,吞食獸,吞食兽
NAME_PkMn_CARVANHA,Carvanha,キバニア,Carvanha,kanivanha,Carvanha,Carvanha,샤프니아,吞食獸,吞食兽
NAME_PkMn_SHARPEDO,Sharpedo,サメハダー,Sharpedo,Tohaido,Sharpedo,Sharpedo,샤크니아,巨牙鯊,巨牙鲨
NAME_PkMn_WAILMER,Wailmer,ホエルコ,Wailmer,Wailmer,Wailmer,Wailmer,고래왕자,吼吼鯨,吼吼鲸
NAME_PkMn_WAILORD,Wailord,ホエルオー,Wailord,Wailord,Wailord,Wailord,고래왕자,吼鯨王,吼鲸王
NAME_PkMn_NUMEL,Numel,ドンメル,Chamallot,Camaub,Numel,Numel,둔타,呆火駝,呆火驼
NAME_PkMn_CAMERUPT,Camerupt,バクーダ,Camerupt,Camerupt,Camerupt,Camerupt,폭타,噴火駝,喷火驼
NAME_PkMn_TORKOAL,Torkoal,コータス,Chartor,Qurtel,Torkoal,Torkoal,코터스,煤炭龜,煤炭龟
NAME_PkMn_SPOINK,Spoink,バネブー,Spoink,Spoink,Spoink,Spoink,피그점프,跳跳豬,跳跳猪
NAME_PkMn_GRUMPIG,Grumpig,ブーピッグ,Groret,Groink,Grumpig,Grumpig,피그킹,噗噗豬,噗噗猪
NAME_PkMn_SPINDA,Spinda,パッチール,Spinda,Pandir,Spinda,Spinda,얼루기,晃晃斑,晃晃斑
NAME_PkMn_TRAPINCH,Trapinch,ナックラー,Kraknoix,Knacklion,Trapinch,Trapinch,톱치,大顎蟻,大颚蚁
NAME_PkMn_VIBRAVA,Vibrava,ビブラーバ,Vibraninf,Vibrara,Vibrava,Vibrava,비브라바,超音波幼蟲,超音波幼虫
NAME_PkMn_FLYGON,Flygon,フライゴン,Libégon,Libelldra,Flygon,Flygon,플라이곤,沙漠蜻蜓,沙漠蜻蜓
NAME_PkMn_CACNEA,Cacnea,サボネア,Cacnéa,Tuska,Cacnea,Cacnea,선인왕,刺球仙人掌,刺球仙人掌
NAME_PkMn_CACTURNE,Cacturne,ノクタス,Cacturne,Noktuska,Cacturne,Cacturne,밤선인,夢歌仙人掌,梦歌仙人掌
NAME_PkMn_SWABLU,Swablu,チルット,Tylton,Wablu,Swablu,Swablu,파비코,青綿鳥,青绵鸟
NAME_PkMn_ALTARIA,Altaria,チルタリス,Altaria,Altaria,Altaria,Altaria,파비코리,七夕青鳥,七夕青鸟
NAME_PkMn_ZANGOOSE,Zangoose,ザングース,Mangriff,Sengo,Zangoose,Zangoose,쟝고,貓鼬斬,猫鼬斩
NAME_PkMn_SEVIPER,Seviper,ハブネーク,Séviper,Vipitis,Seviper,Seviper,세비퍼,飯匙蛇,飯匙蛇
NAME_PkMn_LUNATONE,Lunatone,ルナトーン,Séléroc,Lunastein,Lunatone,Lunatone,루나톤,月石,月石
NAME_PkMn_SOLROCK,Solrock,ソルロック,Solaroc,Sonnfel,Solrock,Solrock,솔록,太陽岩,太阳岩
NAME_PkMn_BARBOACH,Barboach,ドジョッチ,Barloche,Schmerbe,Barboach,Barboach,미꾸리,泥泥鰍,泥泥鳅
NAME_PkMn_WHISCASH,Whiscash,ナマズン,Barbicha,Welsar,Whiscash,Whiscash,메깅,鯰魚王,鲶鱼王
NAME_PkMn_CORPHISH,Corphish,ヘイガニ,Écrapince,Krebscorps,Corphish,Corphish,가재군,龍蝦小兵,龙虾小兵
NAME_PkMn_CRAWDAUNT,Crawdaunt,シザリガー,Colhomard,Krebutack,Crawdaunt,Crawdaunt,가재장군,鐵螯龍蝦,铁螯龙虾
NAME_PkMn_BALTOY,Baltoy,ヤジロン,Balbuto,Puppance,Baltoy,Baltoy,오뚝군,天秤偶,天秤偶
NAME_PkMn_CLAYDOL,Claydol,ネンドール,Kaorine,Lepumentas,Claydol,Claydol,점토도리,念力土偶,念力土偶
NAME_PkMn_LILEEP,Lileep,リリーヤ,Lilia,Liliep,Lileep,Lileep,릴링,觸手百合,触手百合
NAME_PkMn_CRADILY,Cradily,ユレイドル,Vacilys,Wielie,Cradily,Cradily,릴리요,搖籃百合,摇篮百合
NAME_PkMn_ANORITH,Anorith,アノプス,Anorith,Anorith,Anorith,Anorith,아노딥스,太古羽蟲,太古羽虫
NAME_PkMn_ARMALDO,Armaldo,アーマルド,Armaldo,Armaldo,Armaldo,Armaldo,아말도,太古盔甲,太古盔甲
NAME_PkMn_FEEBAS,Feebas,ヒンバス,Barpau,Barschwa,Feebas,Feebas,빈티나,醜醜魚,丑丑鱼
NAME_PkMn_MILOTIC,Milotic,ミロカロス,Milobellus,Milotic,Milotic,Milotic,밀로틱,美納斯,美纳斯
